ID,Video Title,Views,Likes,Dislikes,Favorites,isClickbait
5WTXHdc1_zI,10 People You Don't Want To Mess With,484411,3881,191,0.0,1
hxwpkM5w3Cc,I Got Hunted By The FBI,42724724,2005151,24646,0.0,1
aKkRwPGSWGQ,10 Real Life Giants You Won't Believe Exist,3674544,12116,1570,0.0,1
81mXAkFEkMs,10 Real Life Giants You Won't Believe Exist,6890718,15222,2858,0.0,1
9NQQKNAwaPk,10 Mythical CREATURES That Actually Existed,2089601,46750,1954,0.0,1
Y_PQrPRolvM,Real Giants Caught On Camera!,518170,4033,271,0.0,1
ZZtYAOpHVYk,10 Real Life GIANTS,9244943,64025,6508,0.0,1
8Iuvf4_NMF4,15 Biggest Animals You Won't Believe Actually Exist!,8380807,48083,5299,0.0,1
n9Ch7nP7suA,I Went Over Speed House And My Brothers Pulled up.... Didnt Go So Well,182683,18504,96,0.0,1
T8Ffq1X1ygQ,Why Nobody Wants This Part of Africa,1142293,41508,1018,0.0,1
taXDBwLOWg8,Overnight in the World's Loneliest House,735215,40928,433,0.0,1
Y6Ii85FjwSQ,THE WORST DAY EVER!!,266809,14531,425,0.0,1
N88OE2ZCHBM,Why Millennials Are Leaving Six-Figure Tech Jobs,1113339,18997,1040,0.0,1
M6vNwTQ1n5U,30 BEST PRANKS AND FUNNY TRICKS FOR YOUR FRIENDS,5445997,41468,4664,0.0,1
4ljLVbh63Uk,"Cutting Peoples Earphones, Then Giving Them Airpods",43680379,1297208,40894,0.0,1
aCZSrSRkqIo,BRENT AND I PRANK OUR MOM!!,15114182,375282,7265,0.0,1
zxYjTTXc-J8,"Last To Leave Circle Wins $500,000",21445488,1729921,11463,0.0,1
bi12zACCTak,The Scariest and Most Interesting Pranks in the World. You Must See Them!,7969526,121749,4372,0.0,1
1iNoQSM8pqU,this video will make you forget your name..,916206,76981,3483,0.0,1
3dvRmfYzs6g,I Got My Girlfriend Pregnant?,486012,30544,2121,0.0,1
7oH9IvIhQi0,DMing 100 YouTubers Asking For A Dare! (i regret this),1291272,105966,5737,0.0,1
t889ifadAMo,"5 YouTubers That Got MAD AT VIEWERS! (SSundee, MrBeast, Preston, Jelly)",34352,1404,463,0.0,1
C7QwaapFRQs,Meeting MrBeast In Person (Very Rude),89625,2907,3345,0.0,1
hfFGTVZNjis,MrBeast HATES Chandler after this..,17166,1207,554,0.0,1
DPCeF7ifQJU,my girlfriend forgot to end her stream..,29131,1210,263,0.0,1
pKg8GJ7dIug,"kid calls 911 for fun, goes very wrong..",33525,1335,119,0.0,1
ck1EQ-vmmc4,he fell off then died..,54361,4818,546,0.0,1
ck1EQ-vmmc4,he fell off then died..,54361,4818,546,0.0,1
3-U-PUspr50,Little Girl Goes To Heaven While Her Parents Watching (emotional),1973418,193593,6932,0.0,1
bas_0jmmgI8,"My plane is going down, goodbye..",92660,9790,531,0.0,1
spjY7VnFrnM,kid shoots dad after he takes PS5..,29079,2177,368,0.0,1
oqq5aXBg3FU,i shouldn't have let him do this..,7140,430,66,0.0,1
QwqiXWkKpbw,real prison escape caught on camera..,8090,516,78,0.0,1
XFlBwuu_p6k,they both died on this roller coaster..,14990,630,172,0.0,1
SJNZ1PJXxg4,"6 YouTubers WHO ALMOST DIED ON CAMERA! (MrBeast, KSI, Sidemen, Tfue)",98545,1055,754,0.0,1
5PylU5ttdgo,I Tested WEIRD VIRAL Food Combinations... (TikTok Edition),1297863,39839,13426,0.0,1
anhURGwNdpk,"Among Us In Real Life, With ACTUAL Detectives... (Impostor IQ 999)",1379942,33915,12112,0.0,1
7coA4_yfyJA,"Last To Open Their Eyes Wins $20,000 - Challenge",1194409,27744,9215,0.0,1
KkGOGL9-gUU,GIRLFRIEND Controls My Life For 24 HOURS! - Challenge,2278256,64388,27456,0.0,1
ZJUWqo2qn0s,"Last To Stop Eating McDonalds Wins $10,000 - Challenge",3078852,69213,24556,0.0,1
eRaDmVFuQgM,This Video Will Accurately Guess Your Age..,22797,1771,107,0.0,1
C9m2SaA3PDc,kid gets caught stealing PS5.. (MUST WATCH),61335,4655,281,0.0,1
K5Qq2cKgd-A,"5 SCARIEST THINGS YouTubers Caught On Camera! (DanTDM, Morgz, MrBeast, Guava Juice)",69836,5045,367,0.0,1
HuQfyK26npU,"6 YouTubers Who FORGOT THEY WERE RECORDING! (DanTDM, Crainer, Tfue, Pokimane, Morgz, FaZe H1ghSky1)",197718,15177,512,0.0,1
8Uqs5qevLYU,"POKEMON GO HACKS! TOP 5 BEST HACKS! (WALK ANYWHERE, CATCH MEWTWO, XP HACK +MORE!!) + GIVEAWAY!!",3150,57,15,0.0,1
BAp1m2Iw-FI,Only KIDS Can Hear This Sound..,37139,2053,77,0.0,1
B6p8N8sRKDI,My Ex Girlfriend Called Me... (We Picked up),2676436,130599,57359,0.0,1
yoJDlPSB5GU,Reacting to 2019 YouTube Rewind (THEY FINALLY PUT ME IN IT),1549684,83879,26086,0.0,1
_9YMpuLDnwo,42 HOLY GRAIL HACKS THAT WILL SAVE YOU A FORTUNE,282758915,1583612,321574,0.0,1
qG7zAphL2ps,22 SIMPLE LIFE HACKS FOR YOUR LIPS,74582082,190940,74610,0.0,1
T7-fPYzJlz8,18 BARBIE DOLL HACKS,45945087,135239,47545,0.0,1
dL_okr9m_kQ,23 LIFE HACKS FOR EMBARRASSING MOMENTS,31027578,68723,17877,0.0,1
GHOlNsuUM2g,15 UNBELIEVABLY EASY WATERMELON HACKS,26207226,87841,28156,0.0,1
4XnMaufLlEk,BABYSITTING MINI JAKE PAUL!!! GONE WRONG...,24945863,143068,26251,0.0,1
6G7V4w9bqJY,9 Riddles Only People with High IQ Can Solve,14313990,120202,40688,0.0,1
4TiITQDPClI,THESE GLASSES CURED MY COLORBLINDNESS!,29804390,2323366,280267,0.0,1
8Nc1u8Kh6IM,THIS LADY TRIED TO TAKE MY DOG!,24392403,475493,17757,0.0,1
DluffFWv740,SHARK ATTACK PRANK (WIFE FREAKOUT),16374862,403932,37284,0.0,1
F4isanhNqS0,I Flew To MrBeast's House & Knocked On His Door,13084890,283248,147853,0.0,1
CxoBD-_y8gE,SELF DRIVING TESLA IN DRIVE THRU PRANK (FREAKOUTS),10127363,295887,88234,0.0,1
bOkSinDkj8w,PREGNANT SEX PRANK!,37521,1031,54,0.0,1
kjZeT-dGDrY,Something Scary Happened To Her Sister....,5615425,174009,5316,0.0,1
gx-9S5T_U5g,Touch My Body Challenge!,96489384,551412,106011,0.0,1
79WVTJBNsn8,Faces REVEALED for ALL Fortnite Battlepass skins! (Season 1 - 11),5843805,118207,4748,0.0,1
bCWMH-fYL54,Surprising Lox With MrBeast.. (Real Life),118780,4535,199,0.0,1
92XN2kog_uI,GHOST HUNTING in GTA 5! (DO NOT Play at 3:OOam),297823,9916,327,0.0,1
NuEkyLZVTFM,Hunting MYSTERIOUS CREATURES in GTA 5!,555834,12034,420,0.0,1
jySqbJwKXb0,HE CAUGHT US...,25415525,82641,15552,0.0,1
vpW0YP-ELx0,SHE ALMOST FELL OFF THE ROLLER COASTER! - GONE WRONG,5350343,82628,3357,0.0,1
kgv9fMcjINc,I WAS POSSESSED (ACTUAL FOOTAGE),6163215,137208,34510,0.0,1
k0vHQsvEMo4,Creepy Tik Toks You Should NOT Watch At Night,46930,2308,1603,0.0,1
mXLUB1_hlYw,SURPRISING ALISSA VIOLET!!,7356040,250293,18997,0.0,1
xQQa_pif6uc,UNIQUE THINGS You Have to SEE TO BELIEVE,17865,2106,22,0.0,1
prMwC2MS_VE,As promised... 1 MILLION SUBSCRIBER SPECIAL,17761147,486781,68060,0.0,1
8xaMdOIsGLE,You won't believe these CRAZY SIGHTINGS! (Can't Unsee This),16269467,380222,9096,0.0,1
k1TkanTFMYc,CRAZY Roller Coasters YOU WONT BELIEVE EXIST !,14056313,100767,4691,0.0,1
jPiPvAafhPU,LUCKY PEOPLE Who Avoided VERY CLOSE CALLS,13431007,136547,6835,0.0,1
V2jAwPkzzsw,Funniest Twitch LIVE STREAM Fails Ever !,17677110,385722,12672,0.0,1
2L3qI7_xHeg,The FASTEST WORKERS in the World !,16537278,142209,5544,0.0,1
hK_L_v3x0Ks,10 Athletes Who Were Caught Cheating On Live TV,34080150,59592,28972,0.0,1
ylgjWFf6ssY,The Most Inappropriate Messages in Kids Shows,26007630,102341,31834,0.0,1
aHPKWjTmDEU,10 Actors Who Turned Into Monsters,21800606,68326,52283,0.0,1
yVaMtCi9Xw0,10 Cute Kids Who Aged Horribly,22943937,64582,44316,0.0,1
shmaAXmDEAw,Mysterious Cases Of Time Travel That Can't Be Explained,16452463,69490,20947,0.0,1
yVaMtCi9Xw0,10 Cute Kids Who Aged Horribly,22943937,64582,44316,0.0,1
6_5XnKvlL5E,10 Most Epic Ways People Have Quit Their Job,12909800,57963,27865,0.0,1
q9fcaHciF_o,Amazing Mind-Bending Optical Illusions,10539767,41103,3749,0.0,1
prcK6Jt9STQ,10 Shocking CONFESSIONS of UFC Octagon Girls,8002210,29610,8390,0.0,1
LCaxzn0geyQ,10 Hidden Pokemon Go SECRETS Finally Revealed!,7586094,56572,15558,0.0,1
7Z0qOH9zqoU,10 Richest People Who Now Work Normal Jobs,7453774,26970,8898,0.0,1
DRwHvBZIQ4U,CAUGHT GIRLFRIEND CHEATING IN THE ACT! (YOU WONT BELIEVE WHAT HAPPENS),25408065,332176,52082,0.0,1
Ubk60jzs2bw,she did this on live TV..,6072966,30336,10668,0.0,1
UE8lAZVIwac,DONT PLAY GTA 5 AT 3:00 AM.. (scary),2974379,78932,10362,0.0,1
iN3ttHug-BU,I've been Banned from Fortnite (I'm Sorry),22085620,875376,264117,0.0,1
cXww-JHW2uI,DM'ing 100 TikTok Celebrities To See Who Would Reply (ft. Charli D'Amelio & Addison Rae),10526949,279653,7741,0.0,1
1V4yCv9viO0,SHE IS PREGNANT!!,6021486,217166,4904,0.0,1
zgaqaxD70no,I Went Bald,5183657,390286,10842,0.0,1
NkE0AMGzpJY,"Last To Leave $800,000 Island Keeps It",102918727,3438692,62348,0.0,1
r7zJ8srwwjk,I Spent 50 Hours In Solitary Confinement,139036071,2730121,68394,0.0,1
sESRuTyfsEk,I Spent 24 Hours Straight In Prison - Challenge,85546693,1649332,41455,,1
0uocETPj4Jx4,"Extreme $500,000 Game Of Tag!",28304893,1904636,14556,0.0,1
uocETPj4Jx4,"Extreme $500,000 Game Of Tag!",28527480,1912728,14689,0.0,0
EgkUEKt_qmA,APEX LEGENDS MAKES NO SENSE 3,338383,23061,277,0.0,0
5jyj5aJaLfc,Minecraft But Blocks Randomly Change When You Look At Them,1119179,69823,1678,0.0,0
5bQUqTsC0JA,I TOOK 10 PENALTIES AGAINST A PREMIER LEAGUE KEEPER,1363546,98995,597,0.0,0
A-Uva3rlc8s,"Minecraft, But You Can Shear Any Block...",1671133,71767,1788,0.0,0
vHuFizITMdA,Turning cotton balls into cotton candy,1609573,131024,704,0.0,0
mu4xGNwz0OY,Notre Dame vs. Florida State Condensed Game  2021 ACC Football,226372,1993,87,0.0,0
-mf8ku_PnVM,"Best Flipbook Wins $5,000 Challenge!  ZHC Crafts",2065826,78501,1508,0.0,0
e09xig209cQ,World's Tallest Elephant Toothpaste Volcano (I FINALLY DID IT!!),11493836,764886,9130,0.0,0
aUWduIWPvzU,"Food Theory M&Ms Melt In Your Hand, LIE To Your Face!",1479613,90227,1704,0.0,0
haL--xiqA0E,"BRYAN DANIELSON TALKS AEW AT ALL OUT 2021 DEBUT, WHY HE LEFT WWE, RELATIONSHIP W VINCE MCMAHON",266523,7779,156,0.0,0
uiQ4c1UNUps,Discord's You Laugh You Lose 4  YLYL,374653,39200,250,0.0,0
